"id";"team_id";"player_name";"player_rank";"team";"avg_points";"games_played";"minutes_per_game"
1;17;"Bradley Beal";1;"WSH";31.2;42;35.4
2;28;"Steph Curry";2;"GS";29.7;43;33.9
3;6;"Damian Lillard";3;"POR";29.2;48;35.9
4;11;"Giannis Antentokounmpo";4;"MIL";28.8;45;34.0
5;7;"Luka Doncic";5;"DAL";28.5;45;35.0
6;9;"Kyrie Irving";6;"BKN";27.9;37;35.6
7;26;"Zach Lavine";7;"CHI";27.2;48;35.0
8;1;"Nikola Jokic";8;"DEN";26.3;51;35.4
9;25;"Zion Williamson";9;"NO";26.3;46;32.6
10;2;"Devin Booker";10;"PHX";26.1;46;34.1
11;4;"Kawhi Leonard";11;"LAC";25.8;43;34.6
12;1;"Donovan Mitchell";12;"UTA";25.8;48;33.6
13;5;"Lebron James";13;"LAL";25.4;41;33.9
14;9;"James Harden";14;"BKN";25.2;42;37.1
15;15;"Jayson Tatum";15;"BOS";25.1;46;35.6
16;13;"Trae Young";16;"ATL";25.1;49;34.2
17;24;"DeAaron Fox";17;"SAC";24.6;50;34.8
18;23;"Nikola Vucevic";18;"ORL";24.3;50;33.8
19;15;"Jaylen Brown";19;"BOS";24.3;48;33.8
20;22;"Collin Sexton";20;"CLE";23.9;43;35.9
21;5;"Brandon Ingram";21;"LAL";23.8;46;34.4
22;16;"Julius Randle";22;"NY";22.9;51;37.0
23;4;"Paul George";23;"LAC";22.5;39;33.4
24;21;"Jerami Grant";24;"SET";21.8;48;34.4
25;17;"Russell Westbrook";25;"WSH";21.4;43;35.3
26;14;"Jimmy Butler";26;"MIA";21.4;36;33.7
27;1;"Jamal Murray";27;"DEN";21.3;47;35.5
28;20;"Malcolm Brogdon";28;"IND";21.2;44;35.2
29;19;"DeMar DeRozan";29;"SA";20.9;42;33.9
30;18;"Pascal Siakam";30;"TOR";20.6;42;35.4
