"id";"team_rank";"team_name";"wins";"losses";"conference"
1;1;"Utah Jazz";38;13;"W"
2;2;"Phoenix Suns";36;14;"W"
3;3;"LA Clippers";34;18;"W"
4;4;"Denver Nuggets";33;18;"W"
5;5;"Los Angeles Lakers";32;19;"W"
6;6;"Portland Trail Blazers";30;20;"W"
7;7;"Dallas Mavericks";28;22;"W"
8;8;"Memphis Grizzlies";26;23;"W"
9;1;"Brooklyn Nets";36;16;"E"
10;2;"Philadelphia 76ers";35;16;"E"
11;3;"Milwaukee Bucks";32;18;"E"
12;4;"Charlotte Hornets";26;24;"E"
13;5;"Atlanta Hawks";27;25;"E"
14;6;"Miami Heat";26;25;"E"
15;7;"Boston Celtics";26;26;"E"
16;8;"New York Knicks";25;27;"E"
17;0;"San Antonio Spurs";24;25;"W"
18;0;"Golden State Warriors";24;27;"W"
19;0;"New Orleans Pelicans";22;29;"W"
20;0;"Sacramento Kings";22;29;"W"
21;0;"Oklahoma City Thunder";20;32;"W"
22;0;"Houstan Rockets";14;37;"W"
23;0;"Minnesota Timberwolves";13;39;"W"
24;0;"Indiana Pacers";23;27;"E"
25;0;"Chicago Bulls";22;28;"E"
26;0;"Toronto Raptors";20;32;"E"
27;0;"Cleveland Cavaliers";19;32;"E"
28;0;"Washington Wizards";18;32;"E"
29;0;"Orlando Magic";17;34;"E"
30;0;"Detroit Pistons";15;36;"E"
